,cve.id,cve.sourceIdentifier,cve.vulnStatus,description,cwe_list,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,predicted_mean_daily_gain,predicted_total_gain
143,CVE-2025-9364,PSIRT@rockwellautomation.com,Analyzed,An open database issue exists in the affected product and version. The security issue stems from an over permissive Redis instance. This could result in an attacker on the intranet accessing sensitive data and potential alteration of data.,['CWE-497'],CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,ADJACENT_NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0.053935906490596625,0.0524679978518837
168,CVE-2025-50255,cve@mitre.org,Awaiting Analysis,Cross Site Request Forgery (CSRF) vulnerability in Smartvista BackOffice SmartVista Suite 2.2.22 via crafted GET request.,['CWE-352'],CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,HIGH,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,HIGH,HIGH,HIGH,0.030411767741794004,0.13692320756479637
21,CVE-2025-54588,security-advisories@github.com,Analyzed,"Envoy is an open source L7 proxy and communication bus designed for large modern service oriented architectures. Versions 1.34.0 through 1.34.4 and 1.35.0 contain a use-after-free (UAF) vulnerability in the DNS cache, causing abnormal process termination. The vulnerability is in Envoy's Dynamic Forward Proxy implementation, occurring when a completion callback for a DNS resolution triggers new DNS resolutions or removes existing pending resolutions. This condition may occur when the following conditions are met: dynamic Forwarding Filter is enabled, the `envoy.reloadable_features.dfp_cluster_resolves_hosts` runtime flag is enabled, and the Host header is modified between the Dynamic Forwarding Filter and Router filters. This issue is resolved in versions 1.34.5 and 1.35.1. To work around this issue, set the envoy.reloadable_features.dfp_cluster_resolves_hosts runtime flag to false.",['CWE-416'],CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.5,HIGH,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,0.029896586819237923,0.05519595228378036
147,CVE-2025-57520,cve@mitre.org,Analyzed,"A Cross Site Scripting (XSS) vulnerability exists in Decap CMS thru 3.8.3. Input fields such as body, tags, title, and description are not properly sanitized before being rendered in the content preview pane. This enables an attacker to inject arbitrary JavaScript which executes whenever a user views the preview panel. The vulnerability affects multiple input vectors and does not require user interaction beyond viewing the affected content.",['CWE-79'],CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,MEDIUM,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,0.027562710154687482,0.06585411931263171
175,CVE-2025-20364,psirt@cisco.com,Awaiting Analysis,"A vulnerability in the Device Analytics action frame processing of Cisco Wireless Access Point (AP) Software could allow an unauthenticated, adjacent attacker to inject wireless 802.11 action frames with arbitrary information.
 This vulnerability is due to insufficient verification checks of incoming 802.11 action frames. An attacker could exploit this vulnerability by sending 802.11 Device Analytics action frames with arbitrary parameters. A successful exploit could allow the attacker to inject Device Analytics action frames with arbitrary information, which could modify the Device Analytics data of valid wireless clients that are connected to the same wireless controller.",['CWE-346'],CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,4.3,MEDIUM,ADJACENT_NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,LOW,NONE,0.019603698506262653,0.02941426899258539
166,CVE-2025-10205,cybersecurity@ch.abb.com,Awaiting Analysis,Use of a One-Way Hash with a Predictable Salt vulnerability in ABB FLXEON.This issue affects FLXEON: through 9.3.5. and newer versions,['CWE-759'],CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.8,HIGH,ADJACENT_NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0.014828812497492688,0.016993947612778056
29,CVE-2025-36899,dsap-vuln-management@google.com,Analyzed,There is a possible escalation of privilege due to test/debugging code left in a production build. This could lead to physical escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.,['CWE-489'],CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,8.4,HIGH,LOCAL,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0.0088589153443909,0.017188949337574186
126,CVE-2025-26419,security@android.com,Analyzed,"In initPhoneSwitch of SystemSettingsFragment.java, there is a possible FRP bypass due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",['CWE-290'],CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,3.3,LOW,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,LOW,NONE,NONE,0.008232965313198075,0.01235201011933719
42,CVE-2025-26420,security@android.com,Analyzed,"In multiple functions of GrantPermissionsActivity.java , there is a possible way to trick the user into granting the incorrect permission due to permission overload. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",['CWE-281'],CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,4.4,MEDIUM,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,LOW,LOW,NONE,0.008183312491683048,0.008999254979505454
48,CVE-2025-26427,security@android.com,Analyzed,"In multiple locations, there is a possible Android/data access due to a path traversal error. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",['CWE-24'],CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,4.4,MEDIUM,LOCAL,LOW,NONE,REQUIRED,UNCHANGED,LOW,LOW,NONE,0.008183312491683048,0.008999254979505454
